id_dep,nome,deputado,partido,UF,tema_1,tema_2,tema_3,tema_4,tema_5,tema_6,tema_7,tema_8,tema_9,tema_10,tema_11,tema_12,tema_13,tema_14,tema_15,tema_16,tema_17,tema_18,tema_19,IMPEACHMENT
74752,OdelmoLeao,Odelmo Leão,pp,MG,sim,sim,nao,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,nao,nao,sim,nao,sim,sim,sim
178868,OdoricoMonteiro,Odorico Monteiro,pt,CE,sim,sim,nao votou,nao votou,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,sim,nao
74399,OnyxLorenzoni,Onyx Lorenzoni,dem,RS,nao votou,nao votou,nao votou,nao votou,sim,sim,nao votou,nao votou,sim,nao votou,sim,nao votou,nao,nao votou,nao,nao,sim,sim,nao,sim
178987,OrlandoSilva,Orlando Silva,pcdob,SP,nao,nao,sim,nao,nao,nao,nao,nao,nao,sim,nao,sim,sim,sim,sim,nao,nao,sim,nao,nao
73463,OsmarSerraglio,Osmar Serraglio,pmdb,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao votou,nao votou,sim,nao votou,nao votou,sim,sim
73692,OsmarTerra,Osmar Terra,pmdb,RS,nao votou,sim,sim,sim,nao,nao,nao votou,nao votou,nao,nao votou,nao votou,nao votou,sim,sim,sim,nao votou,nao,sim,sim,sim
141515,OtavioLeite,Otavio Leite,psdb,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao,nao,nao,sim,nao,sim,nao votou,sim
160556,PadreJoao,Padre João,pt,MG,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao votou,nao votou,sim,nao,sim,nao,nao
74319,PaesLandim,Paes Landim,ptb,PI,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao votou,sim,sim,nao,nao,sim,nao,nao
160642,PastorEurico,Pastor Eurico,psb,PE,nao votou,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,sim,nao,nao,sim,nao,sim,sim,sim
